practice_name,canonical_code,postcode,street_address,telephone,email,website_url,nhs_profile_url,latitude,longitude,accepting_new_patients,country,nation,source_type,ods_primary_role_id,ods_primary_role_description,ods_active_roles,ods_org_link,last_change_date,registered_patient_count,google_maps_query
DR. DOYLE & PARTNERS,Z00260,BT20 4LD,"CHURCH VIEW FAMILY PRACTICE, THE HEALTH CENTRE, BANGOR",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00260,2024-02-19,,DR. DOYLE & PARTNERS BT20 4LD
DR. HAYES & PARTNERS,Z00253,BT20 4LD,"REDWOOD SURGERY, THE HEALTH CENTRE, BANGOR",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00253,2023-08-21,,DR. HAYES & PARTNERS BT20 4LD
DR. KENNY & PARTNER,Z00255,BT20 4LD,"THE OAKS FAMILY PRACTICE, BANGOR HEALTH CENTRE, BANGOR",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00255,2025-08-18,,DR. KENNY & PARTNER BT20 4LD
DR. MANSON & PARTNERS,Z00258,BT20 4LD,"CASTLE PARK PRACTICE, BANGOR HEALTH CENTRE, BANGOR",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00258,2021-09-14,,DR. MANSON & PARTNERS BT20 4LD
DR. SIMPSON & PARTNERS,Z00280,BT20 4LD,"ABBEY FAMILY PRACTICE, BANGOR HEALTH CENTRE, BANGOR",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00280,2021-09-14,,DR. SIMPSON & PARTNERS BT20 4LD
DR. LOWRY & PARTNERS,Z00274,BT20 4XA,"BLOOMFIELD SURGERY, 95 BLOOMFIELD ROAD, BANGOR",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00274,2025-08-18,,DR. LOWRY & PARTNERS BT20 4XA
DR. INGRAM & PARTNER,Z00256,BT20 5PE,"ASHLEY MEDICAL CENTRE, 140 GROOMSPORT ROAD, BANGOR",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00256,2025-05-16,,DR. INGRAM & PARTNER BT20 5PE
DR. HISCOCKS & PARTNERS,Z00276,BT21 0BU,"DONAGHADEE HEALTH CENTRE, 3 KILLAUGHEY ROAD, DONAGHADEE",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00276,2021-09-14,,DR. HISCOCKS & PARTNERS BT21 0BU
DR. DOYLE & PARTNERS,Z00259,BT22 1QT,"PORTAFERRY SURGERY, 44 HIGH STREET, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00259,2021-09-14,,DR. DOYLE & PARTNERS BT22 1QT
DR. HUGHES & PARTNERS,Z00282,BT22 2PY,"THE HEALTH CENTRE, FOWLER WAY, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00282,2021-09-14,,DR. HUGHES & PARTNERS BT22 2PY
DR. FERRIS & PARTNERS,Z00283,BT22 2SP,"LOUGH VIEW SURGERY, 2 MAIN STREET, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00283,2022-08-22,,DR. FERRIS & PARTNERS BT22 2SP
DR. GREER & PARTNERS,Z00271,BT23 4AS,"OLD MILL SURGERY, CHURCH STREET, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00271,2021-09-14,,DR. GREER & PARTNERS BT23 4AS
DR. HYLAND & PARTNERS,Z00265,BT23 4FH,"CHURCHSIDE PRACTICE, 1 CHURCH STREET, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00265,2024-11-19,,DR. HYLAND & PARTNERS BT23 4FH
DR. YOUNGS & PARTNERS,Z00278,BT23 4FH,"SCRABO VIEW PRACTICE, 1 CHURCH STREET, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00278,2024-11-19,,DR. YOUNGS & PARTNERS BT23 4FH
DR. NEOH & PARTNERS,Z00261,BT23 4LR,"KILLYNETHER PRACTICE, 2A FREDERICK STREET, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00261,2021-09-14,,DR. NEOH & PARTNERS BT23 4LR
DR. STOCKMAN & PARTNERS,Z00275,BT23 4LR,"PARK PRACTICE, REGENCY MEDICAL CENTRE, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00275,2025-11-14,,DR. STOCKMAN & PARTNERS BT23 4LR
DR. WHITESIDE & PARTNERS,Z00273,BT23 5BA,"COMBER FAMILY PRACTICE, COMBER HEALTH CENTRE, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00273,2021-09-14,,DR. WHITESIDE & PARTNERS BT23 5BA
DR. MITCHELL & PARTNERS,Z00272,BT23 5DT,"THE SQUARE SURGERY, 16A THE SQUARE, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00272,2024-02-19,,DR. MITCHELL & PARTNERS BT23 5DT
DR. MARSHALL & PARTNERS,Z00254,BT23 6AW,"LISBANE MEDICAL CENTRE, 24 LISBARNETT ROAD, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00254,2024-05-20,,DR. MARSHALL & PARTNERS BT23 6AW
DR. GRIMSHAW & PARTNERS,Z00285,BT23 7PZ,"GREEN ROAD MEDICAL CENTRE, 5 GREEN ROAD, NEWTOWNARDS",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00285,2023-08-21,,DR. GRIMSHAW & PARTNERS BT23 7PZ
DR. GUNN & PARTNERS,Z00198,BT24 7AD,"SAINTFIELD HEALTH CENTRE, FAIRVIEW, BALLYNAHINCH",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00198,2025-05-16,,DR. GUNN & PARTNERS BT24 7AD
DR. WATSON & PARTNERS,Z00191,BT24 8AY,"THE MONTALTO MEDICAL CENTRE, 2 DROMORE ROAD, BALLYNAHINCH",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00191,2024-11-15,,DR. WATSON & PARTNERS BT24 8AY
